ApplicationID,DeptName,Program,DateOfApplication,Year,Glyphosate,Tier1,QtyAppliedUOM,QtyApplied,Gallons,Location,Address,Latitude,Longitude,NoSprayings,PF
19099,Parks and Recreation,Developed Park,04/09/2013,2013,Y,N,Gal(s),3,3,Martin Luther King Park,,47.582757,-122.297163,0,0
19100,Parks and Recreation,Developed Park,04/03/2013,2013,Y,N,Gal(s),3,3,Colman Park,,47.585469,-122.288611,0,0
19101,Parks and Recreation,Developed Park,04/03/2013,2013,Y,N,Gal(s),3,3,Lake Washington Blvd,4900 block Lake Wash Blvd S,47.558186,-122.26324,0,0
19102,Parks and Recreation,Developed Park,04/01/2013,2013,Y,N,Gal(s),3,3,Colman Park,1745 24th Ave South,47.585469,-122.288611,0,0
19103,Parks and Recreation,Developed Park,03/26/2013,2013,Y,N,Gal(s),3,3,Rainier Playfield,3701 S Alaska St,47.561706,-122.286303,0,0
19104,Parks and Recreation,Developed Park,03/25/2013,2013,Y,N,Gal(s),0.5,0.5,Genesee Park,45th Ave S / S Genesee St,47.564857,-122.278746,0,0
19105,Parks and Recreation,Developed Park,03/25/2013,2013,Y,N,Gal(s),2.5,2.5,Rainier Playfield,3701 S Alaska St,47.561706,-122.286303,0,0
19106,Parks and Recreation,Developed Park,04/13/2012,2012,Y,N,Gal(s),1.5,1.5,Mount Baker Ridge Viewpoint,1403 31st Ave S,47.590126,-122.29242,0,0
19115,Parks and Recreation,Developed Park,04/15/2013,2013,Y,N,Gal(s),1,1,Denny Park,100 Dexter Ave N,47.61833,-122.284838,0,0
19116,Parks and Recreation,Developed Park,04/12/2013,2013,N,N,Gal(s),0.5,0.5,Dragonfly Pavilion,Yancy St,47.566545,-122.366942,0,0
19117,Parks and Recreation,Developed Park,04/12/2013,2013,N,N,Gal(s),0.25,0.25,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19118,Parks and Recreation,Developed Park,04/15/2013,2013,Y,N,Gal(s),4,4,Westbridge Grounds,4209 W Marginal Way SW,47.565461,-122.354103,0,0
19119,Parks and Recreation,Developed Park,04/15/2013,2013,N,N,Gal(s),0.5,0.5,Camp Long,5200 35th Ave SW,47.556242,-122.373161,0,0
19120,Parks and Recreation,Developed Park,04/17/2013,2013,Y,N,Gal(s),3,3,Denny Park,100 Dexter Ave N,47.61833,-122.284838,0,0
19121,Parks and Recreation,Developed Park,04/17/2013,2013,Y,N,Gal(s),3,3,Cascade Playground,309 Pontius Ave N,47.666216,-122.358092,0,0
19122,Seattle Center,Seattle Center,04/22/2013,2013,Y,N,Gal(s),2,2,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19124,Parks and Recreation,Developed Park,04/22/2013,2013,Y,N,Fl. Oz,1.5,0.01171875,Martha Washington Park,6612 57th Ave South,47.542398,-122.260054,0,0
19125,Parks and Recreation,Developed Park,04/17/2013,2013,Y,N,Gal(s),13.5,13.5,Rainier CC Grounds,4600 38th South,47.667567,-122.359434,0,0
19126,Parks and Recreation,Developed Park,04/22/2013,2013,Y,N,Gal(s),4.5,4.5,Genesee Park,45th Ave S / S Genesee St,47.564857,-122.278746,0,0
19133,Parks and Recreation,Developed Park,04/24/2013,2013,Y,N,Gal(s),5.5,5.5,Seward Park,5900 Lake Washington Blvd S,47.55076,-122.250608,0,0
19134,Parks and Recreation,Developed Park,04/24/2013,2013,Y,N,Gal(s),3,3,Seward Park,5900 Lake Washington Blvd S,47.55076,-122.250608,0,0
19135,Parks and Recreation,Developed Park,04/24/2013,2013,Y,N,Gal(s),6,6,Pritchard Island Beach,8400 55th Ave South,47.52895,-122.262831,0,0
19136,Parks and Recreation,Developed Park,04/24/2013,2013,Y,N,Fl. Oz,0.5,0.00390625,Lake Washington Blvd,4900 block Lake Wash Blvd S,47.558186,-122.26324,0,0
19137,Parks and Recreation,Developed Park,04/24/2013,2013,Y,N,Gal(s),9,9,Arboretum Grounds,1075 Lake Washington Blvd. E,47.63987,-122.294417,0,0
19138,Seattle Center,Seattle Center,04/02/2013,2013,Y,N,Gal(s),7,7,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19139,Seattle Center,Seattle Center,03/26/2013,2013,Y,N,Gal(s),4,4,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19140,Seattle Center,Seattle Center,04/25/2013,2013,Y,N,Gal(s),3,3,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19141,Seattle Center,Seattle Center,04/25/2013,2013,Y,N,Gal(s),3,3,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19142,Seattle Center,Seattle Center,04/24/2013,2013,Y,N,Gal(s),2,2,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19144,Seattle Center,Seattle Center,04/26/2013,2013,Y,N,Gal(s),5,5,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19145,Parks and Recreation,Developed Park,05/01/2013,2013,Y,N,Gal(s),6,6,Arboretum Grounds,1075 Lake Washington Blvd. E,47.63987,-122.294417,0,0
19146,Seattle Center,Seattle Center,05/03/2013,2013,Y,N,Gal(s),1,1,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19147,Parks and Recreation,Developed Park,05/03/2013,2013,Y,N,Gal(s),2.5,2.5,Genesee Park,45th Ave S / S Genesee St,47.564857,-122.278746,0,0
19148,Parks and Recreation,Developed Park,05/03/2013,2013,Y,N,Gal(s),3.5,3.5,East Portal Viewpoint,1400 Lake Washington Blvd S,47.589813,-122.289154,0,0
19149,Parks and Recreation,Developed Park,05/02/2013,2013,Y,N,Gal(s),6,6,East Portal Viewpoint,1400 Lake Washington Blvd S,47.589813,-122.289154,0,0
19150,Parks and Recreation,Developed Park,05/02/2013,2013,Y,N,Gal(s),6,6,Sam Smith Park,1420 Martin Luther King Jr Way S,47.589982,-122.297816,0,0
19151,Parks and Recreation,Developed Park,04/25/2013,2013,Y,N,Gal(s),0.5,0.5,Dragonfly Pavilion,Yancy St,47.566545,-122.366942,0,0
19162,Parks and Recreation,Developed Park,05/07/2013,2013,Y,N,Gal(s),4,4,Genesee Park,45th Ave S / S Genesee St,47.564857,-122.278746,0,0
